postcode,point_coord,street,city,state,is_klang_valley,is_peninsular,is_east_malaysia,is_kuala_lumpur
1000,POINT(6.4312 100.2056),Kampung Bintong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Bohor Chichar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Bohor Gandil,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Bohor Gelam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Bohor Goncar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Bohor Inai,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Bohor Temak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Bukit Besi Hangit,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Bukit Kecil,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Bunga Pudak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Dagang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Dasri,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Datuk,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Guar Syed Alwi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Guar Ujung Batu,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Gunong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Guru,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Haji Daud,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Hutan Buluh,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Hutan Melintang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Jarak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Jejawi Dalam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Jejawi Sematang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Kechor,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Keranji,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Kota Keran,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Kota Ulu,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Kota,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Kubang Arang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Kubang Badak,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Kubang Cekuang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Kubang Gajah,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Kurung Batang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Lin,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Masjid (Kangar),Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Mengkuang Layar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Nissam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Nyak Adam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Padang Behor,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Padang Jawa Seriab,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Padang Katong,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Padang Kedepiang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Padang Machang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Padang Nyaring,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Padang Pauh,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Padang Petani,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Padang Seberang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Panggau,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Parit Jari,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Penghulu Bakar,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Pengkalan Asam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Peseri,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Petai Hilir,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Petai,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Pokok Jawi,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Pondok,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Pulau,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Repoh Dagang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Repoh,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Salang,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Santan Aur,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Santan Belat,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Santan Enam,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Santan Masjid,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Santan,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Sempering,Kangar,Perlis,0,1,0,0
1000,POINT(6.4312 100.2056),Kampung Sena Sematang,Kangar,Perlis,0,1,0,0
